Unknown command: '0.0.0.0:8000'
Type 'manage.py help' for usage.
[17/Jun/2017 13:24:20] "GET / HTTP/1.1" 302 0
[17/Jun/2017 13:24:21] "GET /view_videos/ HTTP/1.1" 200 15197
[17/Jun/2017 13:24:22] "GET /query_images/ HTTP/1.1" 200 6544
Not Found: /favicon.ico
[17/Jun/2017 13:24:23] "GET /favicon.ico HTTP/1.1" 404 3451
[17/Jun/2017 13:24:25] "GET /view_images/?id=10200 HTTP/1.1" 200 6853
[17/Jun/2017 13:24:38] "GET /view_images/?id=16182 HTTP/1.1" 200 4310
[17/Jun/2017 13:45:13] "GET /view_images?id=10208 HTTP/1.1" 301 0
[17/Jun/2017 13:45:16] "GET /view_images/?id=10208 HTTP/1.1" 200 15755
[17/Jun/2017 13:53:48] "GET /view_images/?id=3116 HTTP/1.1" 200 57
[17/Jun/2017 13:53:51] "GET /view_images/?id=3117 HTTP/1.1" 200 6399
[17/Jun/2017 13:53:54] "GET /view_images?id=3115 HTTP/1.1" 301 0
[17/Jun/2017 13:53:54] "GET /view_images/?id=3115 HTTP/1.1" 200 6917
[17/Jun/2017 13:54:12] "GET /query_images/?query=%25 HTTP/1.1" 200 7362
[17/Jun/2017 13:54:23] "GET /view_images?id=16180 HTTP/1.1" 301 0
[17/Jun/2017 13:54:23] "GET /view_images/?id=16180 HTTP/1.1" 200 4053
[17/Jun/2017 13:56:32] "GET /view_images/?id=16180 HTTP/1.1" 200 57
[17/Jun/2017 14:47:33] "GET /view_images?id=16193 HTTP/1.1" 301 0
[17/Jun/2017 14:47:34] "GET /view_images/?id=16193 HTTP/1.1" 200 7524
[17/Jun/2017 14:47:39] "GET /view_images?id=16192 HTTP/1.1" 301 0
[17/Jun/2017 14:47:39] "GET /view_images/?id=16192 HTTP/1.1" 200 8357
[17/Jun/2017 14:47:40] "GET /view_images?id=16191 HTTP/1.1" 301 0
[17/Jun/2017 14:47:40] "GET /view_images/?id=16191 HTTP/1.1" 200 6987
[17/Jun/2017 14:47:41] "GET /view_images?id=16190 HTTP/1.1" 301 0
[17/Jun/2017 14:47:41] "GET /view_images/?id=16190 HTTP/1.1" 200 34
[17/Jun/2017 14:47:46] "GET /view_images/?id=16190 HTTP/1.1" 200 34
[17/Jun/2017 14:47:50] "GET /query_images/?query=%25 HTTP/1.1" 200 7199
[17/Jun/2017 14:47:52] "GET /view_images?id=16337 HTTP/1.1" 301 0
[17/Jun/2017 14:47:52] "GET /view_images/?id=16337 HTTP/1.1" 200 8605
[17/Jun/2017 14:48:01] "GET /view_images?id=16336 HTTP/1.1" 301 0
[17/Jun/2017 14:48:01] "GET /view_images/?id=16336 HTTP/1.1" 200 3805
[17/Jun/2017 14:48:02] "GET /view_images?id=16335 HTTP/1.1" 301 0
[17/Jun/2017 14:48:02] "GET /view_images/?id=16335 HTTP/1.1" 200 3635
[17/Jun/2017 14:48:03] "GET /view_images?id=16334 HTTP/1.1" 301 0
[17/Jun/2017 14:48:03] "GET /view_images/?id=16334 HTTP/1.1" 200 3659
[17/Jun/2017 14:48:05] "GET /view_images?id=16333 HTTP/1.1" 301 0
[17/Jun/2017 14:48:05] "GET /view_images/?id=16333 HTTP/1.1" 200 6628
[17/Jun/2017 14:49:27] "GET /random_images HTTP/1.1" 301 0
[17/Jun/2017 14:49:27] "GET /random_images/ HTTP/1.1" 200 6315
[17/Jun/2017 14:49:31] "GET /view_images?id=16313 HTTP/1.1" 301 0
[17/Jun/2017 14:49:31] "GET /view_images/?id=16313 HTTP/1.1" 200 3693
[17/Jun/2017 14:49:34] "GET /view_images?id=16312 HTTP/1.1" 301 0
[17/Jun/2017 14:49:34] "GET /view_images/?id=16312 HTTP/1.1" 200 3659
[17/Jun/2017 14:49:35] "GET /view_images?id=16311 HTTP/1.1" 301 0
[17/Jun/2017 14:49:35] "GET /view_images/?id=16311 HTTP/1.1" 200 3879
[17/Jun/2017 14:49:35] "GET /view_images?id=16310 HTTP/1.1" 301 0
[17/Jun/2017 14:49:35] "GET /view_images/?id=16310 HTTP/1.1" 200 6837
[17/Jun/2017 14:49:42] "GET /view_images?id=16309 HTTP/1.1" 301 0
[17/Jun/2017 14:49:42] "GET /view_images/?id=16309 HTTP/1.1" 200 7068
[17/Jun/2017 14:49:43] "GET /view_images?id=16304 HTTP/1.1" 301 0
[17/Jun/2017 14:49:43] "GET /view_images/?id=16304 HTTP/1.1" 200 4727
[17/Jun/2017 14:49:52] "GET /query_images/?query=%E7%86%9F HTTP/1.1" 200 6854
[17/Jun/2017 14:49:54] "GET /view_images?id=16215 HTTP/1.1" 301 0
[17/Jun/2017 14:49:54] "GET /view_images/?id=16215 HTTP/1.1" 200 8047
[17/Jun/2017 14:50:36] "GET /view_images?id=16214 HTTP/1.1" 301 0
[17/Jun/2017 14:50:36] "GET /view_images/?id=16214 HTTP/1.1" 200 7425
[17/Jun/2017 14:50:46] "GET /view_images/?id=16215 HTTP/1.1" 200 8047
[17/Jun/2017 14:50:48] "GET /view_images/?id=16214 HTTP/1.1" 200 7425
[17/Jun/2017 14:50:49] "GET /view_images?id=16213 HTTP/1.1" 301 0
[17/Jun/2017 14:50:49] "GET /view_images/?id=16213 HTTP/1.1" 200 7235
[17/Jun/2017 14:50:51] "GET /view_images?id=16212 HTTP/1.1" 301 0
[17/Jun/2017 14:50:51] "GET /view_images/?id=16212 HTTP/1.1" 200 7809
[17/Jun/2017 14:50:53] "GET /view_images?id=16211 HTTP/1.1" 301 0
[17/Jun/2017 14:50:53] "GET /view_images/?id=16211 HTTP/1.1" 200 8687
[17/Jun/2017 14:50:54] "GET /view_images?id=16210 HTTP/1.1" 301 0
[17/Jun/2017 14:50:54] "GET /view_images/?id=16210 HTTP/1.1" 200 10925
[17/Jun/2017 14:50:56] "GET /view_images?id=16209 HTTP/1.1" 301 0
[17/Jun/2017 14:50:56] "GET /view_images/?id=16209 HTTP/1.1" 200 7673
[17/Jun/2017 14:50:59] "GET /view_images?id=16208 HTTP/1.1" 301 0
[17/Jun/2017 14:50:59] "GET /view_images/?id=16208 HTTP/1.1" 200 11657
[17/Jun/2017 16:11:39] "GET / HTTP/1.1" 302 0
[17/Jun/2017 16:11:39] "GET /view_videos/ HTTP/1.1" 200 15197
[17/Jun/2017 16:11:40] "GET /query_images/ HTTP/1.1" 200 6544
Not Found: /favicon.ico
[17/Jun/2017 16:11:41] "GET /favicon.ico HTTP/1.1" 404 3451
[17/Jun/2017 16:12:00] "GET /view_images?id=11175 HTTP/1.1" 301 0
[17/Jun/2017 16:12:00] "GET /view_images/?id=11175 HTTP/1.1" 200 7795
[17/Jun/2017 16:12:03] "GET /query_images/?query= HTTP/1.1" 200 7534
[17/Jun/2017 16:12:04] "GET /view_images?id=16355 HTTP/1.1" 301 0
